market,sector,symbol,symbol_name,description,link_website,one_report_link,last_updated_at
SET,STEEL,2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),แปรรูปผลิตภัณฑ์เหล็กรูปพรรณ และธุรกิจจัดหาผลิตภัณฑ์เหล็กเพื่อจำหน่าย โดยมีจุดกระจายสินค้าครอบคลุมทั่วประเทศ,http://www.ss.co.th/,https://weblink.set.or.th/dat/f56/1008E1N270320261635180821T.zip,2026-05-13T12:54:23
SET,ICT,3BBIF,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,"3BBIF มีกรรมสิทธิ์ในทรัพย์สินเส้นใยแก้วนำแสงจำนวน 1,680,500 คอร์กิโลเมตร ซึ่งกองทุนซื้อจากบริษัท ทริปเปิลที บรอดแบนด์ จำกัด (มหาชน) (TTTBB) โดย TTTBB เป็นผู้เช่าทรัพย์สินเส้นใยแก้วนำแสงจำนวนร้อยละ 80 ตามสัญญาแก้ไขเพิ่มเติมและแทนที่สัญญาเช่าหลัก และกองทุนได้เข้าทำสัญญาแก้ไขเพิ่มเติมและแทนที่สัญญาบริหารดูแลและบำรุงรักษาทรัพย์สินกับ TTTBB โดยแต่งตั้งให้ TTTBB เป็นผู้จัดการและบริหารทรัพย์สินเส้นใยแก้วนำแสงเพื่อให้บริการซ่อมแซม บำรุงรักษา และบริหารจัดการทรัพย์สินเส้นใยแก้วนำแสงแทนกองทุน",https://www.3bb-if.com/,https://weblink.set.or.th/dat/annual/1248ANN310320261628240684T.zip,2026-05-13T12:54:20
mai,CONSUMP,88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),ผลิตและจัดจำหน่าย กลุ่มผลิตภัณฑ์ดูแลเส้นผมและหนังศีรษะ กลุ่มผลิตภัณฑ์ดูแลผิว และกลุ่มผลิตภัณฑ์เครื่องสำอาง ภายใต้แบรนด์ตนเอง,http://www.88thailand.co.th/,https://weblink.set.or.th/dat/f56/2031E1N230320261553350667T.zip,2026-05-13T12:54:22
SET,PROP,A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),ธุรกิจอสังหาริมทรัพย์ แบ่งเป็น 3 ประเภท 1) โครงการบ้านเดี่ยว โดยจะขายที่ดินเปล่าซึ่งเป็นกรรมสิทธิ์ของบริษัท และรับจ้างปลูกสร้างบ้านบนที่ดินนั้น หรือขายที่ดินพร้อมบ้านสร้างเสร็จ 2) โครงการทาวน์เฮาส์ และ 3) โครงการคอนโดมิเนียม โดยเน้นทำเลใจกลางเมืองบริษัทมีการพัฒนาโครงการประเภทธุรกิจศูนย์การค้าหรือคอมมิวนิตี้มอลล์ ในชื่อว่า Pickadaily Bangkok,http://www.areeya.co.th/,https://weblink.set.or.th/dat/f56/0770ONE310320250918220580T.zip,2026-05-13T12:54:19
SET,PROP,A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),ประกอบธุรกิจลงทุนในบริษัทอื่น โดยมีนโยบายลงทุนในบริษัทที่ประกอบธุรกิจอสังหาริมทรัพย์ และธุรกิจที่เกี่ยวข้อง (Holding Company),http://www.assetfive.co.th/,https://weblink.set.or.th/dat/f56/0746ONE310320261600330353T.zip,2026-05-13T12:54:20
SET,FOOD,AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),ธุรกิจรับจ้างผลิตและจำหน่ายอาหารสัตว์เลี้ยง (Pet food) อาหารพร้อมทานบรรจุภาชนะปิดผนึก (Human food) และผลิตภัณฑ์ผลพลอยได้จากการแปรรูปปลาทูน่า,http://www.asianalliance.co.th/,https://weblink.set.or.th/dat/f56/1723E1N260320251231220280T.zip,2026-05-13T12:54:20
SET,TRANS,AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),ประกอบธุรกิจด้านการลงทุนโดยการถือหุ้นในบริษัทอื่น (Holding Company) โดยในปัจจุบัน บริษัทถือหุ้นใน บริษัท ไทยแอร์เอเชีย จำกัดเพียงแห่งเดียว สำหรับบริษัท ไทยแอร์เอเชีย จำกัด ประกอบธุรกิจให้บริการสายการบินราคาประหยัด โดยมีรายได้หลักจากการให้บริการขนส่งผู้โดยสารแบบประจำ (Scheduled Passenger Services) และการให้บริการเสริม (Ancillary Services),http://www.aavplc.com/,https://weblink.set.or.th/dat/f56/1091ONE200320262140400327T.zip,2026-05-13T12:54:23
mai,RESOURC,ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),จัดหาและจัดจำหน่ายเชื้อเพลิงชีวมวล 6 กลุ่มหลัก ได้แก่ 1) กะลาปาล์ม 2) ไม้สับและส่วนอื่นๆของไม้ 3) ขี้กบ ขี้เลื่อย และฝุ่นไม้ 4) ชีวมวลอัดแท่ง 5) สินค้าอื่น เช่น แกลบ ใยปาล์ม ทะลายปาล์ม เหง้ามัน มันสำปะหลังเส้น แป้งมันสำปะหลัง เป็นต้น6) เชื้อเพลิงขยะมูลฝอย (Refuse Derived Fuel : RDF),http://www.asiabiomass.com/,https://weblink.set.or.th/dat/f56/1418E1N240320262155280410T.zip,2026-05-13T12:54:21
mai,FINCIAL,ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),ธุรกิจการให้สินเชื่อ แบ่งเป็น สินเชื่อภาคธุรกิจ (Corporate Loan) และสินเชื่อรายย่อย (Retail Loan),http://www.acap.co.th/,https://weblink.set.or.th/dat/f56/0880ONE310320261921150316T.zip,2026-05-13T12:54:21
SET,ENERG,ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),ปัจจุบันได้ดำเนินธุรกิจเป็น 4 กลุ่มหลัก ได้แก่ 1.กลุ่มธุรกิจโครงสร้างพื้นฐาน ประกอบไปด้วย 1.1) ธุรกิจพลังงานและพลังงานทดแทน 1.2) ธุรกิจรับเหมาก่อสร้าง 2.กลุ่มธุรกิจการเงิน ประกอบไปด้วย 2.1) ธุรกิจการให้กู้ยืม 2.2) ธุรกิจบริหารสินทรัพย์ 3. กลุ่มธุรกิจการจัดจำหน่าย 4. กลุ่มธุรกิจอื่นๆ,http://acc-plc.com/,https://weblink.set.or.th/dat/f56/0342ONE310320261807480719T.zip,2026-05-13T12:54:37
